City,Place,avg_rating,review_count,short_description,auto_tag,auto_tags,top_keywords,pros,cons,recommendation_explanation
Aamby Valley City,19 Degree North,4.588235294117647,17,aamby valley beautiful place clear blue skies fresh green grass family visited aamby valley celebrate mother birthday mom splendid time thanks pinky bharadwaj handling booking bombay executed obt akshay thanx,hill,"['hill', 'trekking', 'road_trip']","['valley', 'climbing', 'adventure', 'team', 'jungle']","['clean', 'adventurous', 'fun', 'maintained', 'safe']","['polluted', 'rush']","Recommended because it matches hill, trekking interests. Visitors often mention valley, climbing, adventure. Top positives: clean, adventurous, fun. Possible issues: polluted, rush."
Abhaneri,Chand Baori (Step well),4.248322147651007,745,visit jaipur trip usually itinerary need ask travel agent yo include step really worth visit kind region happen traveling jaipur agra vice versa detour little bit km aprox kept step,palace,"['palace', 'temple', 'gurdwara']","['jaipur', 'agra', 'step', 'chand', 'steps']","['fun', 'safe', 'pleasant', 'great', 'amazing']","['expensive', 'crowded', 'worst', 'broken', 'boring']","Recommended because it matches palace, temple interests. Visitors often mention jaipur, agra, step. Top positives: fun, safe, pleasant. Possible issues: expensive, crowded."
Abhaneri,Harshat Mata Temple,3.9152542372881354,118,temple situated chand baori totally ruined ruins speak past glory monument certainly worth visit visitors come abhanari famous stepwell makes sense adjoining temple raised platform temple goes th century years,ruins,"['ruins', 'temple', 'heritage']","['chand', 'temple', 'mata', 'step', 'goddess']","['pleasant', 'great', 'amazing', 'spectacular', 'peace']","['ruined', 'damaged', 'crowded', 'poor', 'heat']","Recommended because it matches ruins, temple interests. Visitors often mention chand, temple, mata. Top positives: pleasant, great, amazing. Possible issues: ruined, damaged."
Acharapakkam,Achirupakkam,2.0,1,hindus common belief praying lord vinayaga ganesha starting rituals getting proved lord shiva forgot pray ganesha starting war demons chariot axle broken realizes completed ritual,pilgrimage,"['pilgrimage', 'gurdwara', 'temple']","['ganesha', 'starting', 'lord', 'war', 'praying']",[],['broken'],"Recommended because it matches pilgrimage, gurdwara interests. Visitors often mention ganesha, starting, lord. Possible issues: broken."
Acharapakkam,Mazhai Malai Madha Shrine,5.0,1,hill shrines situated tamil nadu history place goes follows founder shrine arranged car procession honor blessed mother intercede good shower rain,temple,"['temple', 'gurdwara', 'spiritual']","['shower', 'nadu', 'shrines', 'tamil', 'arranged']",['blessed'],[],"Recommended because it matches temple, gurdwara interests. Visitors often mention shower, nadu, shrines. Top positives: blessed."
Achooranam,Wayanad Tea Museum,4.1395348837209305,43,wayanad tea museum awesome place wayanad miss tea museum tea museum situated achoor old factory converted museum building constructed information tea nice place learn tea product british engineering example maintained,cafe,"['cafe', 'food', 'local_experience']","['tea', 'museum', 'wayanad', 'factory', 'plantation']","['friendly', 'maintained', 'wonderful', 'memorable', 'great']","['boring', 'hot']","Recommended because it matches cafe, food interests. Visitors often mention tea, museum, wayanad. Top positives: friendly, maintained, wonderful. Possible issues: boring, hot."
Achrol,Moto Sport Park,4.8,30,say overwelhmed expecting world class service jc wanted drive time sand went smooth fiancé happy surprise dear thank taking time share valuable feedback trip advisor page happy note enjoyed rides,road_trip,"['road_trip', 'resort', 'desert']","['feedback', 'sport', 'dear', 'valuable', 'thank']","['adventurous', 'friendly', 'fun', 'maintained', 'memorable']",[],"Recommended because it matches road_trip, resort interests. Visitors often mention feedback, sport, dear. Top positives: adventurous, friendly, fun."
Adilabad,Basar Saraswati Temple,4.080459770114943,87,visited th october akshraabyasam daughter really great place visit thanks trip advisor went families reached p sunday darshan minutes looking facilities inside outside visualize crowd festive season got rs ticket,temple,"['temple', 'gurdwara', 'palace']","['temple', 'hyderabad', 'goddess', 'river', 'pooja']","['fun', 'great', 'peace', 'lovely', 'sacred']","['slow', 'problem', 'crowded', 'heat', 'rush']","Recommended because it matches temple, gurdwara interests. Visitors often mention temple, hyderabad, goddess. Top positives: fun, great, peace. Possible issues: slow, problem."
Adilabad,Fun Park,5.0,1,indoor play house kids adults old bowling alley indoor cricket vr games soft play area arcade games party hall food court things,nightlife,"['nightlife', 'fine_dining', 'street_food']","['indoor', 'games', 'play', 'cricket', 'soft']",[],[],"Recommended because it matches nightlife, fine_dining interests. Visitors often mention indoor, games, play."
Adilabad,Gudem Satyanarayana Swamy Temple,5.0,2,nice weather great god peoples come villages temple really enjoyed friends thank god gudem satyanarayana temple beautiful temple addicted nature people like,spiritual,"['spiritual', 'temple', 'gurdwara']","['temple', 'god', 'villages', 'peoples', 'thank']","['great', 'beautiful']",[],"Recommended because it matches spiritual, temple interests. Visitors often mention temple, god, villages. Top positives: great, beautiful."
Adilabad,Jainath Temple,3.8333333333333335,6,sri narayan swamy temple known jainath temple ancient temple built pallava chiefs temple popular jain style architecture village called jainath pillars inside temple extensive carved beautiful sculptures jainath vaishnavite temple,temple,"['temple', 'gurdwara', 'spiritual']","['temple', 'construction', 'swamy', 'jain', 'sun']","['great', 'beautiful', 'awesome', 'peaceful']",['misleading'],"Recommended because it matches temple, gurdwara interests. Visitors often mention temple, construction, swamy. Top positives: great, beautiful, awesome. Possible issues: misleading."
Adilabad,Kadam Dam,4.526315789473684,19,wife children went kadam dam hyderabad km stayed haritha resort jannaram km dam boating jungle safari kawal tiger sanctuary lots beautiful place spend time weekends accommodation available haritha resorts telangana,lake,"['lake', 'waterfall', 'gurdwara']","['dam', 'hyderabad', 'boating', 'resort', 'water']","['lush', 'clean', 'wonderful', 'excellent', 'sunrise']","['traffic', 'rainy']","Recommended because it matches lake, waterfall interests. Visitors often mention dam, hyderabad, boating. Top positives: lush, clean, wonderful. Possible issues: traffic, rainy."
Adilabad,Kadile Papahareshwar Temple,5.0,2,great weather visit place really enjoyed friends thank god want visit time palce really good serene free sort pollution noise peaceful accessible autos transport abode lord shiva deer spotted,spiritual,"['spiritual', 'gurdwara', 'pilgrimage']","['deer', 'spotted', 'abode', 'pollution', 'noise']","['great', 'serene', 'peaceful']",[],"Recommended because it matches spiritual, gurdwara interests. Visitors often mention deer, spotted, abode. Top positives: great, serene, peaceful."
